CBO2002,Scholarity,contract_hours,age,avg_salary,min_salary,gender,employment_time
214125,9,40,29,2922.01,5.35,2,2.9
214105,9,20,27,1710.13,3.14,2,21.9
214105,9,40,31,3521.36,6.46,2,99.7
214105,9,30,31,2464.87,4.51,2,8.4
214105,9,30,25,2300.7,4.21,2,8.6
214105,9,30,35,2109.43,3.87,2,23.6
214105,9,30,30,2183.41,4,2,0.9
214105,9,30,39,7922.17,14.55,2,185
214105,9,40,48,2812.61,5.16,2,15.7
214105,9,30,29,2171.07,3.98,2,27.9
214105,9,30,30,2183.4,4,2,0.6
214105,9,30,30,2912.07,5.34,2,25.2
214105,9,30,54,7505.78,13.78,2,247.3
214105,9,30,26,2154.76,3.95,2,5.6
214105,9,30,45,5419.1,9.95,2,223
214105,9,30,27,2068.44,3.79,2,16.6
214105,9,30,23,2183.41,4,2,0.9
214105,9,44,32,3166.84,5.81,2,62.4
214105,9,44,34,3069.87,5.63,2,51.9
214105,9,44,57,4118.05,7.56,2,204.3
214105,9,44,43,3376.07,6.2,2,139.9
214120,9,35,31,1576.22,2.89,2,51.9
214105,9,33,45,2757.69,5.06,2,37.9
214105,9,30,52,11900.84,21.85,2,344.6
214105,9,30,53,15408.49,28.3,2,357.9
214105,9,30,58,19005.14,34.92,2,411.5
214105,9,30,52,12063.14,22.15,2,344.6
214105,9,30,51,14467.37,26.58,2,344.6
214105,9,30,50,14385.17,26.43,2,332.9
214110,9,20,30,2268.02,4.15,2,4.7
214105,9,40,31,4658.35,8.55,2,51.4
214105,9,40,39,2408.46,4.41,2,4.5
214125,9,30,25,3034.59,5.57,2,18.9
214105,9,40,61,2392.85,4.39,2,14.5
214125,9,24,28,3496.33,6.41,2,59.2
214105,9,44,30,5128.78,9.4,2,1.3
214105,9,44,32,4258.27,7.82,2,68.4
214105,9,22,35,3137.95,5.76,2,104
214125,9,37,42,4465.43,8.2,2,221.2
214125,9,40,29,3386.46,6.21,2,39.9
214125,9,40,33,4028.61,7.39,2,39.8
214125,9,40,27,4149.76,7.62,2,39.9
214125,9,40,33,3690.56,6.77,2,39.9
214125,9,40,50,3754.85,6.89,2,35.5
214105,9,44,33,1862.34,3.42,2,117.4
214105,9,44,30,5446.73,10,2,35.5
214105,9,22,25,1366.36,2.5,2,15.3
214125,9,44,31,4968.62,9.12,2,52.5
214125,9,44,31,5641.49,10.36,2,92.9
214115,9,44,29,2632.99,4.83,2,42.4
214105,9,44,50,1158.98,2.12,2,66.9
214125,9,21,36,1466.66,2.68,2,8.4
214125,9,44,29,3151.65,5.78,2,10.9
214105,9,40,46,3270,6,2,6.9
214105,9,44,34,3270,6,2,4.9
214105,9,44,28,1559.96,2.86,2,18.3
214105,9,44,24,2017.3,3.69,2,5.4
214105,9,44,30,875.13,1.59,2,3.9
214105,9,20,25,2567.9,4.71,2,22.4
214105,9,20,35,2775.61,5.09,2,108.9
214125,9,22,25,1500,2.75,2,1.4
214105,9,44,21,708.88,1.29,2,6.7
214105,9,44,20,837.51,1.53,2,32.9
214105,9,44,36,2859.7,5.24,2,2.9
214105,9,40,49,3776.79,6.93,2,22.5
214105,9,40,30,8196.15,15.06,2,62.7
214105,9,44,61,20385.14,37.45,2,41.9
214105,9,44,26,5030.83,9.24,2,35.6
214105,9,44,30,5263.46,9.66,2,41.9
214105,9,44,35,4925.9,9.04,2,10.9
214105,9,30,30,7692.65,14.13,2,18.7
214105,9,30,37,7794.2,14.29,2,5.8
214105,9,30,29,7598.26,13.93,2,9.5
214105,9,30,45,13666.61,25.11,2,96.5
214105,9,30,39,10404.77,19.11,2,113.9
214105,9,30,30,12390.74,22.76,2,55.7
214105,9,30,38,14770.43,27.14,2,112.8
214105,9,30,57,14277.3,26.23,2,362.3
214105,9,30,37,9590.33,17.61,2,96.9
214105,9,12,25,711.66,1.3,2,21.9
214105,9,12,23,1090,2,2,6.9
214105,9,30,24,3597,6.6,2,4
214105,9,43,32,3395.33,6.22,2,9.9
214105,9,30,34,3265,6,2,11.9
214105,9,44,35,4997.65,9.17,2,2.6
214125,9,44,31,3234.87,5.93,2,38.9
214105,9,30,34,1831.66,3.36,2,22.9
214125,9,22,30,1000,1.83,2,1.7
214105,9,44,46,5014.56,9.19,2,22.9
214105,9,44,46,5094.07,9.39,2,22.9
214110,9,44,27,1200,2.2,2,3.9
214105,9,22,30,3112.5,5.71,2,38.9
214105,9,22,35,3325.83,6.11,2,27.9
214125,9,30,28,3355.75,6.16,2,38.9
214125,9,22,38,888.19,1.62,2,58.9
214105,9,44,24,4905,9,2,4.3
214105,9,44,21,742,1.36,2,3.9
214110,9,44,24,949.12,1.74,2,11.9
214105,9,40,59,15158.28,27.84,2,353.3
214105,9,30,47,3270,6,2,5.9
214105,9,30,47,3270,6,2,5.9
214105,9,5,22,300,0.55,2,2.9
214105,9,44,30,3102.88,5.69,2,70.9
214105,9,30,39,3375,6.19,2,63.9
214105,9,44,27,2155.83,3.95,2,19.1
214105,9,44,28,2619.05,4.8,2,2.2
214105,9,44,27,3041.28,5.57,2,4.7
214105,9,44,31,4665.39,8.56,2,55.9
214105,9,44,25,4538.78,8.33,2,28.5
214105,9,44,27,3409.36,6.26,2,28.9
214125,9,44,26,1869.5,3.43,2,35.8
214105,9,30,34,3270,6,2,5.6
214110,9,44,28,785.5,1.43,2,38.9
214105,9,30,31,2160,3.96,2,13.4
214105,9,30,31,2280.88,4.17,2,13.4
214105,9,30,31,2040,3.76,2,13.4
214110,9,44,32,1686.43,3.09,2,3.9
214105,9,44,31,5033.73,9.24,2,29.8
214110,9,44,23,1133.96,2.07,2,56.4
214110,9,44,33,1019.04,1.86,2,6.9
214125,9,22,27,949.76,1.74,2,13.9
214105,9,24,32,3294.84,6.04,2,10.9
214105,9,30,29,3311.79,6.07,2,7.9
214110,9,44,37,887.25,1.62,2,49.9
214105,9,44,27,1072.77,1.96,2,38.9
214105,9,44,26,4800.23,8.81,2,50.9
